Match,Match_id,BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Afghanistan vs Sri Lanka,T20I # 1856,Rashid Khan,4,0,31,2,7.75,10,2,1,1,0
Afghanistan vs Sri Lanka,T20I # 1856,Azmatullah Omarzai,2,0,17,0,8.5,2,1,0,1,0
Afghanistan vs Sri Lanka,T20I # 1856,Mohammad Nabi,2,0,16,0,8,2,0,1,0,0
Afghanistan vs Sri Lanka,T20I # 1856,Gulbadin Naib,1,0,12,0,12,1,2,0,0,0
England vs New Zealand,T20I # 1858,Trent Boult,4,0,40,0,10,8,4,1,1,0
England vs New Zealand,T20I # 1858,Tim Southee,4,0,43,1,10.75,9,3,3,0,0
England vs New Zealand,T20I # 1858,Mitchell Santner,4,0,25,1,6.25,8,2,0,0,0
England vs New Zealand,T20I # 1858,Lockie Ferguson,4,0,45,2,11.25,6,4,2,0,1
England vs New Zealand,T20I # 1858,Ish Sodhi,4,0,23,1,5.75,10,2,0,0,0
England vs New Zealand,T20I # 1858,Moeen Ali,1,0,4,0,4,3,0,0,0,0
England vs New Zealand,T20I # 1858,Chris Woakes,4,0,33,2,8.25,9,1,2,1,0
England vs New Zealand,T20I # 1858,Adil Rashid,4,0,33,0,8.25,6,0,2,0,0
England vs New Zealand,T20I # 1858,Sam Curran,4,0,26,2,6.5,9,0,0,2,0
England vs New Zealand,T20I # 1858,Mark Wood,3,0,25,1,8.33,8,2,1,1,0
England vs New Zealand,T20I # 1858,Liam Livingstone,3,0,26,0,8.66,4,3,0,0,0
England vs New Zealand,T20I # 1858,Ben Stokes,1,0,10,1,10,2,2,0,0,0
Netherlands vs Zimbabwe,T20I # 1859,Fred Klaassen,4,0,17,1,4.25,17,0,1,2,0
Netherlands vs Zimbabwe,T20I # 1859,Paul van Meekeren,4,0,29,3,7.25,13,3,0,2,0
Netherlands vs Zimbabwe,T20I # 1859,Brandon Glover,4,1,29,2,7.25,15,2,2,2,0
Netherlands vs Zimbabwe,T20I # 1859,Logan van Beek,2.2,0,17,2,7.28,8,1,1,1,0
Netherlands vs Zimbabwe,T20I # 1859,Bas de Leede,4,0,14,2,3.5,11,0,0,0,0
Netherlands vs Zimbabwe,T20I # 1859,Roelof van der Merwe,1,0,8,0,8,2,1,0,0,0
Netherlands vs Zimbabwe,T20I # 1859,Tendai Chatara,4,0,22,0,5.5,14,4,0,0,0
Netherlands vs Zimbabwe,T20I # 1859,Richard Ngarava,4,0,18,2,4.5,15,1,1,0,0
Netherlands vs Zimbabwe,T20I # 1859,Blessing Muzarabani,4,0,23,2,5.75,14,2,1,1,0
Netherlands vs Zimbabwe,T20I # 1859,Sean Williams,3,0,21,0,7,8,2,1,0,0
Netherlands vs Zimbabwe,T20I # 1859,Sikandar Raza,1,0,6,0,6,0,0,0,0,0
Netherlands vs Zimbabwe,T20I # 1859,Luke Jongwe,2,0,25,1,12.5,3,4,0,3,1
Bangladesh vs India,T20I # 1860,Taskin Ahmed,4,0,15,0,3.75,16,2,0,0,0
Bangladesh vs India,T20I # 1860,Shoriful Islam,4,0,57,0,14.25,7,4,4,2,2
Bangladesh vs India,T20I # 1860,Hasan Mahmud,4,0,47,3,11.75,7,6,2,0,1
Bangladesh vs India,T20I # 1860,Mustafizur Rahman,4,0,31,0,7.75,9,4,0,0,0
Bangladesh vs India,T20I # 1860,Shakib Al Hasan,4,0,33,2,8.25,3,2,0,0,0
Bangladesh vs India,T20I # 1860,Bhuvneshwar Kumar,3,0,27,0,9,7,2,2,0,0
Bangladesh vs India,T20I # 1860,Arshdeep Singh,4,0,38,2,9.5,10,5,1,0,0
Bangladesh vs India,T20I # 1860,Mohammed Shami,3,0,25,1,8.33,7,2,1,0,0
Bangladesh vs India,T20I # 1860,Axar Patel,1,0,6,0,6,2,0,0,0,0
Bangladesh vs India,T20I # 1860,Ravichandran Ashwin,2,0,19,0,9.5,4,3,0,1,0
Bangladesh vs India,T20I # 1860,Hardik Pandya,3,0,28,2,9.33,8,1,3,0,0
Pakistan vs South Africa,T20I # 1861,Wayne Parnell,4,0,31,1,7.75,10,3,1,0,0
Pakistan vs South Africa,T20I # 1861,Kagiso Rabada,4,0,44,1,11,7,4,2,0,0
Pakistan vs South Africa,T20I # 1861,Lungi Ngidi,4,0,32,1,8,11,3,1,2,0
Pakistan vs South Africa,T20I # 1861,Anrich Nortje,4,0,41,4,10.25,11,1,4,0,1
Pakistan vs South Africa,T20I # 1861,Tabraiz Shamsi,4,0,36,1,9,8,2,2,2,0
Pakistan vs South Africa,T20I # 1861,Shaheen Shah Afridi,3,0,14,3,4.66,11,2,0,0,0
Pakistan vs South Africa,T20I # 1861,Naseem Shah,3,0,19,1,6.33,10,1,1,1,0
Pakistan vs South Africa,T20I # 1861,Haris Rauf,3,0,44,1,14.66,2,7,1,1,0
Pakistan vs South Africa,T20I # 1861,Mohammad Wasim,2,0,13,1,6.5,3,1,0,0,0
Pakistan vs South Africa,T20I # 1861,Shadab Khan,2,0,16,2,8,5,1,1,0,0
Pakistan vs South Africa,T20I # 1861,Mohammad Nawaz,1,0,2,0,2,4,0,0,0,0
Ireland vs New Zealand,T20I # 1862,Josh Little,4,0,22,3,5.5,10,2,0,1,0
Ireland vs New Zealand,T20I # 1862,Mark Adair,4,0,39,1,9.75,9,3,1,3,0
Ireland vs New Zealand,T20I # 1862,Barry McCarthy,4,0,46,0,11.5,4,4,2,0,0
Ireland vs New Zealand,T20I # 1862,Gareth Delany,4,0,30,2,7.5,11,3,1,1,0
Ireland vs New Zealand,T20I # 1862,Fionn Hand,2,0,22,0,11,2,2,1,0,0
Ireland vs New Zealand,T20I # 1862,George Dockrell,2,0,18,0,9,4,2,0,2,0
Ireland vs New Zealand,T20I # 1862,Trent Boult,4,0,38,0,9.5,8,4,1,0,0
Ireland vs New Zealand,T20I # 1862,Tim Southee,4,0,29,2,7.25,8,2,1,0,0
Ireland vs New Zealand,T20I # 1862,Lockie Ferguson,4,0,22,3,5.5,10,1,0,0,0
Ireland vs New Zealand,T20I # 1862,Mitchell Santner,4,0,26,2,6.5,12,3,1,0,0
Ireland vs New Zealand,T20I # 1862,Ish Sodhi,4,0,31,2,7.75,10,0,2,1,0
Australia vs Afghanistan,T20I # 1864,Fazalhaq Farooqi,4,0,29,2,7.25,13,4,1,0,0
Australia vs Afghanistan,T20I # 1864,Mujeeb Ur Rahman,4,0,42,1,10.5,5,4,1,1,0
Australia vs Afghanistan,T20I # 1864,Naveen-ul-Haq,4,0,21,3,5.25,11,2,0,0,0
Australia vs Afghanistan,T20I # 1864,Gulbadin Naib,3,0,31,0,10.33,6,3,2,0,0
Australia vs Afghanistan,T20I # 1864,Rashid Khan,4,0,29,1,7.25,9,2,1,1,0
Australia vs Afghanistan,T20I # 1864,Mohammad Nabi,1,0,14,0,14,1,1,1,0,0
Australia vs Afghanistan,T20I # 1864,Josh Hazlewood,4,0,33,2,8.25,13,2,3,0,0
Australia vs Afghanistan,T20I # 1864,Pat Cummins,4,0,22,0,5.5,12,2,0,0,0
Australia vs Afghanistan,T20I # 1864,Marcus Stoinis,2,0,26,0,13,2,2,1,2,0
Australia vs Afghanistan,T20I # 1864,Kane Richardson,4,0,48,1,12,4,3,3,1,0
Australia vs Afghanistan,T20I # 1864,Adam Zampa,4,0,22,2,5.5,11,1,0,0,0
Australia vs Afghanistan,T20I # 1864,Cameron Green,2,0,13,0,6.5,7,1,1,0,0
England vs Sri Lanka,T20I # 1867,Ben Stokes,3,0,24,1,8,8,1,2,0,0
England vs Sri Lanka,T20I # 1867,Chris Woakes,3,0,24,1,8,5,3,0,1,0
England vs Sri Lanka,T20I # 1867,Mark Wood,3,0,26,3,8.66,8,1,2,1,0
England vs Sri Lanka,T20I # 1867,Sam Curran,4,0,27,1,6.75,10,2,1,0,0
England vs Sri Lanka,T20I # 1867,Adil Rashid,4,0,16,1,4,11,0,0,0,0
England vs Sri Lanka,T20I # 1867,Liam Livingstone,2,0,16,0,8,2,0,1,0,0
England vs Sri Lanka,T20I # 1867,Moeen Ali,1,0,5,0,5,1,0,0,0,0
England vs Sri Lanka,T20I # 1867,Maheesh Theekshana,4,0,22,0,5.5,11,1,0,1,0
England vs Sri Lanka,T20I # 1867,Kasun Rajitha,3,0,40,0,13.33,4,5,1,2,0
England vs Sri Lanka,T20I # 1867,Lahiru Kumara,3.4,0,24,2,6.54,11,3,0,0,1
England vs Sri Lanka,T20I # 1867,Wanindu Hasaranga de Silva,4,0,23,2,5.75,11,1,1,0,0
England vs Sri Lanka,T20I # 1867,Dhananjaya de Silva,4,0,24,2,6,7,1,0,0,0
England vs Sri Lanka,T20I # 1867,Charith Asalanka,1,0,8,0,8,1,1,0,0,0
Netherlands vs South Africa,T20I # 1871,Wayne Parnell,4,0,32,0,8,10,2,2,1,0
Netherlands vs South Africa,T20I # 1871,Kagiso Rabada,3,0,37,0,12.33,6,7,0,0,0
Netherlands vs South Africa,T20I # 1871,Lungi Ngidi,3,0,35,0,11.66,3,5,0,0,0
Netherlands vs South Africa,T20I # 1871,Anrich Nortje,4,0,10,1,2.5,14,0,0,0,0
Netherlands vs South Africa,T20I # 1871,Keshav Maharaj,4,0,27,2,6.75,12,1,2,0,0
Netherlands vs South Africa,T20I # 1871,Aiden Markram,2,0,16,1,8,3,0,1,1,0
Netherlands vs South Africa,T20I # 1871,Fred Klaassen,4,0,20,2,5,15,3,0,0,0
Netherlands vs South Africa,T20I # 1871,Paul van Meekeren,3,0,33,1,11,5,1,2,1,1
Netherlands vs South Africa,T20I # 1871,Colin Ackermann,3,0,16,0,5.33,6,1,0,0,0
Netherlands vs South Africa,T20I # 1871,Roelof van der Merwe,2,0,19,0,9.5,2,2,0,0,0
Netherlands vs South Africa,T20I # 1871,Brandon Glover,2,0,9,3,4.5,5,0,0,1,0
Netherlands vs South Africa,T20I # 1871,Logan van Beek,3,0,23,0,7.66,4,1,1,0,0
Netherlands vs South Africa,T20I # 1871,Bas de Leede,3,0,25,2,8.33,4,1,0,1,2
Bangladesh vs Pakistan,T20I # 1872,Shaheen Shah Afridi,4,0,22,4,5.5,13,2,1,0,0
Bangladesh vs Pakistan,T20I # 1872,Naseem Shah,3,0,15,0,5,9,2,0,0,0
Bangladesh vs Pakistan,T20I # 1872,Mohammad Wasim,2,0,19,0,9.5,5,1,1,1,0
Bangladesh vs Pakistan,T20I # 1872,Haris Rauf,4,0,21,1,5.25,11,2,0,0,0
Bangladesh vs Pakistan,T20I # 1872,Shadab Khan,4,0,30,2,7.5,8,3,0,0,0
